 origin | dest | distance | vuelos 
--------+------+----------+--------
 ABE    | ATL  |   692.00 |    179
 ABE    | AVP  |    50.00 |    173
 ABE    | DTW  |   424.00 |    246
 ABE    | MDT  |    77.00 |     80
 ABE    | ORD  |   654.00 |    173
 ABE    | PHL  |    55.00 |     26
 ABE    | PIT  |   253.00 |    343
 ABQ    | AMA  |   277.00 |    228
 ABQ    | DAL  |   580.00 |    307
 ABQ    | DEN  |   349.00 |    825
 ABQ    | DFW  |   569.00 |    972
 ABQ    | ELP  |   223.00 |    632
 ABQ    | IAH  |   744.00 |    168
 ABQ    | LAS  |   487.00 |    499
 ABQ    | LAX  |   677.00 |    746
 ABQ    | LBB  |   289.00 |    174
 ABQ    | MAF  |   332.00 |    163
 ABQ    | MCI  |   718.00 |    244
 ABQ    | ORD  |  1118.00 |    248
 ABQ    | PHX  |   328.00 |   1405
 ABQ    | SAN  |   628.00 |     80
 ABQ    | SAT  |   609.00 |     58
 ABQ    | SFO  |   896.00 |     89
 ABQ    | SLC  |   493.00 |    256
 ABQ    | STL  |   934.00 |    314
 ABQ    | TUL  |   608.00 |     78
 ABQ    | TUS  |   321.00 |    178
 ACV    | RDD  |   101.00 |     85
 ACV    | SFO  |   250.00 |    232
 AGS    | ATL  |   143.00 |    577
 AGS    | CAE  |    63.00 |     84
 AGS    | CLT  |   140.00 |    175
 ALB    | ATL  |   852.00 |    172
 ALB    | BDL  |    80.00 |     68
 ALB    | BOS  |   145.00 |      1
 ALB    | BTV  |   124.00 |      3
 ALB    | BUF  |   251.00 |    162
 ALB    | BWI  |   288.00 |    263
 ALB    | CLE  |   424.00 |     58
 ALB    | DCA  |   318.00 |    151
 ALB    | DTW  |   488.00 |    238
 ALB    | ISP  |   139.00 |    236
 ALB    | MHT  |   121.00 |     84
 ALB    | ORD  |   723.00 |    669
 ALB    | PHL  |   212.00 |    307
 ALB    | PIT  |   367.00 |    353
 ALB    | ROC  |   198.00 |     74
 ALO    | RST  |    94.00 |    165
 ALO    | STL  |   284.00 |    171
 AMA    | ABQ  |   277.00 |    225
 AMA    | DAL  |   324.00 |    542
 AMA    | DEN  |   358.00 |    167
 AMA    | DFW  |   313.00 |    606
 AMA    | LBB  |   108.00 |    176
 AMA    | MAF  |   228.00 |    170
 ANC    | BET  |   399.00 |    125
 ANC    | CDV  |   160.00 |     67
 ANC    | FAI  |   261.00 |    658
 ANC    | HNL  |  2777.00 |     39
 ANC    | JNU  |   571.00 |    155
 ANC    | MSP  |  2518.00 |     30
 ANC    | OME  |   539.00 |    116
 ANC    | ORD  |  2846.00 |     56
 ANC    | OTZ  |   549.00 |     76
 ANC    | PDX  |  1542.00 |     89
 ANC    | SCC  |   626.00 |    127
 ANC    | SEA  |  1449.00 |   1416
 ANC    | SLC  |  2125.00 |    163
 APF    | TPA  |   134.00 |    221
 ATL    | ABE  |   692.00 |    176
 ATL    | AGS  |   143.00 |    653
 ATL    | ALB  |   852.00 |    168
 ATL    | AUS  |   813.00 |    241
 ATL    | BDL  |   859.00 |    604
 ATL    | BHM  |   134.00 |   1323
 ATL    | BNA  |   214.00 |   1242
 ATL    | BOS  |   946.00 |    957
 ATL    | BTR  |   449.00 |    249
 ATL    | BUF  |   712.00 |    317
 ATL    | BWI  |   576.00 |    915
 ATL    | CAE  |   191.00 |   1231
 ATL    | CAK  |   528.00 |    168
 ATL    | CHA  |   106.00 |    522
 ATL    | CHS  |   259.00 |   1359
 ATL    | CLE  |   554.00 |    861
 ATL    | CLT  |   227.00 |   1639
 ATL    | CMH  |   446.00 |    765
 ATL    | CSG  |    83.00 |    318
 ATL    | CVG  |   373.00 |    517
 ATL    | DAB  |   366.00 |    591
 ATL    | DAY  |   432.00 |    430
 ATL    | DCA  |   547.00 |   1342
 ATL    | DEN  |  1199.00 |    812
 ATL    | DFW  |   732.00 |   1845
 ATL    | DTW  |   594.00 |   1239
 ATL    | EVV  |   350.00 |     87
 ATL    | EWR  |   745.00 |   1174
 ATL    | FLL  |   581.00 |   1111
 ATL    | FWA  |   508.00 |     90
 ATL    | GNV  |   300.00 |    340
 ATL    | GSO  |   306.00 |    881
 ATL    | GSP  |   153.00 |   1180
 ATL    | HNL  |  4502.00 |     63
 ATL    | HOU  |   696.00 |    589
 ATL    | HSV  |   151.00 |    315
 ATL    | IAD  |   533.00 |    630
 ATL    | IAH  |   689.00 |   1052
 ATL    | IND  |   432.00 |    672
 ATL    | JAN  |   341.00 |    438
 ATL    | JAX  |   270.00 |   1550
 ATL    | JFK  |   760.00 |    247
 ATL    | LAS  |  1747.00 |    169
 ATL    | LAX  |  1946.00 |    763
